
2024/10/14 (14:59:48) | ===> btop++ v.1.4.0
2024/10/14 (14:59:48) | INFO: Logger set to INFO
2024/10/14 (15:00:03) | INFO: Quitting! Runtime: 00:00:26

2024/10/14 (15:00:06) | ===> btop++ v.1.4.0
2024/10/14 (15:00:06) | INFO: Logger set to INFO
2024/10/14 (15:00:06) | INFO: Running on /dev/pts/0
2024/10/14 (15:00:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/14 (15:00:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/14 (15:00:28) | INFO: Quitting! Runtime: 00:00:22

2024/10/14 (17:48:49) | ===> btop++ v.1.4.0
2024/10/14 (17:48:49) | INFO: Logger set to INFO
2024/10/14 (17:48:49) | INFO: Running on /dev/pts/0
2024/10/14 (17:48:49) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/14 (17:48:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/10/14 (18:15:31) | ===> btop++ v.1.4.0
2024/10/14 (18:15:31) | INFO: Logger set to INFO
2024/10/14 (18:15:31) | INFO: Running on /dev/pts/1
2024/10/14 (18:15:31) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/14 (18:15:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/10/14 (18:21:50) | ===> btop++ v.1.4.0
2024/10/14 (18:21:50) | INFO: Logger set to INFO
2024/10/14 (18:21:50) | INFO: Running on /dev/pts/0
2024/10/14 (18:21:50) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/14 (18:21:50) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/10/14 (18:22:04) | ===> btop++ v.1.4.0
2024/10/14 (18:22:04) | INFO: Logger set to INFO
2024/10/14 (18:22:04) | INFO: Running on /dev/pts/0
2024/10/14 (18:22:04) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/14 (18:22:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/14 (18:22:04) | INFO: Quitting! Runtime: 00:00:00

2024/10/14 (18:22:08) | ===> btop++ v.1.4.0
2024/10/14 (18:22:08) | INFO: Logger set to INFO
2024/10/14 (18:22:08) | INFO: Running on /dev/pts/0
2024/10/14 (18:22:08) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/14 (18:22:08) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/10/14 (18:26:36) | ===> btop++ v.1.4.0
2024/10/14 (18:26:36) | INFO: Logger set to INFO
2024/10/14 (18:26:36) | INFO: Running on /dev/pts/0
2024/10/14 (18:26:36) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/14 (18:26:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/10/15 (10:02:29) | ===> btop++ v.1.4.0
2024/10/15 (10:02:29) | INFO: Logger set to INFO
2024/10/15 (10:02:29) | INFO: Running on /dev/pts/1
2024/10/15 (10:02:29) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/15 (10:02:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/10/15 (13:36:42) | ===> btop++ v.1.4.0
2024/10/15 (13:36:42) | INFO: Logger set to INFO
2024/10/15 (13:36:42) | INFO: Running on /dev/pts/1
2024/10/15 (13:36:42) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/15 (13:36:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/10/17 (10:36:43) | ===> btop++ v.1.4.0
2024/10/17 (10:36:43) | INFO: Logger set to INFO
2024/10/17 (10:36:43) | INFO: Running on /dev/pts/0
2024/10/17 (10:36:43) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/17 (10:36:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
